"tax_cat","prod","n_obs","lm_r2","lm_adj_r2","lm_aic","lm_bic","lm_rmse","lm_df","lm_fstat","lm_pval","seg_r2","seg_adj_r2","seg_aic","seg_bic","seg_rmse","seg_df","seg_fstat","seg_pval","lm_XSSB_p_value","lm_xSSB_intervention_p_value","lm_xSSB_post_p_value","lm_t_p_value","seg_XSSB_p_value","seg_xSSB_intervention_p_value","seg_xSSB_post_p_value","seg_t_p_value"
"Reduced Tax Group","קייטירינג משני",290,0.241042252569821,0.230390214009397,2800.75933899587,2822.77862453376,29.6442217259627,285,22.628743897472,3.01563689124678e-16,0.25029984727805,0.234405144393485,2801.20023369737,2830.55928108122,29.4628702568812,283,15.7473750277598,1.32252028876753e-15,NA,0.997291918100253,0.334582142114534,0.639699436338307,NA,0.320104370358043,0.281072570300214,0.784246564747195
"Reduced Tax Group","מזון מוכן",290,0.501319620062067,0.494320597185746,2767.57061350772,2789.5898990456,27.9955419992832,285,71.6270869406733,6.30437250949151e-42,0.502768291455189,0.492226276433038,2770.72693462246,2800.0859820063,27.9548487622278,283,47.6918587574334,3.0302100570662e-40,NA,0.440292293254835,0.907364271718515,0.221350196780051,NA,0.731796417568803,0.990579496047352,0.281021882281995
"Reduced Tax Group","מיצים",290,0.120070753177116,0.107720869011181,2913.3187272046,2935.33801274248,35.9933836616743,285,9.72241938173866,2.19646967315441e-07,0.120960950635258,0.102324080330705,2917.02519458612,2946.38424196996,35.9751723528431,283,6.49041113977747,1.97830540905306e-06,NA,0.762033382482755,0.728913192542731,0.770143389045137,NA,0.986382797865182,0.686784411001919,0.689540246306827
"Reduced Tax Group","מיונז",290,0.45620717555813,0.448574995565963,2773.79772581528,2795.81701135317,28.2977326684853,285,59.7741636107069,1.31485068634887e-36,0.457782248698607,0.446286465985503,2776.95653413408,2806.31558151793,28.2567213513153,283,39.8217555188123,5.29366627614509e-35,NA,0.40274447321887,0.823640236564598,0.17007550898609,NA,0.632146931684533,0.932731748812774,0.226486733789257
"Reduced Tax Group","דגני בוקר",290,0.285108060240355,0.275074489156009,2849.38142431211,2871.40070984999,32.2364695143834,285,28.4154124033837,7.05734847808127e-20,0.289791483338172,0.274734058956649,2851.47531645577,2880.83436383961,32.1307017037595,283,19.2457538550735,8.31463334093952e-19,NA,0.68829329660643,0.768504685097815,0.64113169319591,NA,0.694445514206847,0.708449172737095,0.678390698761694
"Reduced Tax Group","חנויות למזון בע""ח",290,0.490378207410136,0.483225620847471,2768.25173683857,2790.27102237645,28.028437891874,285,68.559562769897,1.3594263196387e-40,0.491373305501664,0.480589700671311,2771.68492325216,2801.043970636,28.0010600658786,283,45.5667017877509,7.14905148393708e-39,NA,0.486237873662416,0.994654229175875,0.290675108456271,NA,0.830597341603082,0.950403892921772,0.524002487259744
"Reduced Tax Group","אורז",290,0.208550457022008,0.197442393260914,2893.5703538552,2915.58963939308,34.7884771239622,285,18.7746903067342,1.0296978617125e-13,0.217656121423625,0.201069325411405,2894.21454856772,2923.57359595156,34.5877766500268,283,13.1222522579569,4.19612175503847e-13,NA,0.965627340670568,0.450240351170021,0.766493209803074,NA,0.368724085568959,0.410865895659034,0.492515680840922
"Reduced Tax Group","עוף",290,0.483442201570616,0.476192267557572,2774.80013507804,2796.81942061592,28.3466816956476,285,66.6822898940615,9.20162817571792e-40,0.487614428095974,0.476751129751719,2776.4483004512,2805.80734783505,28.2319718213712,283,44.8864067471596,1.99597249016351e-38,NA,0.594766838392278,0.823178741673412,0.485201870043165,NA,0.737006564184506,0.732198638774714,0.477527244660622
"Reduced Tax Group","ירקות/פירות קפואים",290,0.478983045582717,0.471670526924229,2770.38164520483,2792.40093074271,28.1315547053738,285,65.5017878178985,3.10342409386923e-39,0.482278488224338,0.47130206041284,2772.54156398419,2801.90061136803,28.0424472576131,283,43.9376540807872,8.46036484181254e-38,NA,0.627954158965969,0.76366376916491,0.555626671562423,NA,0.773405569292639,0.687598071520471,0.545240966327898
"Reduced Tax Group","סדנאות בישול",290,0.511627682474008,0.504773334157854,2765.62950238797,2787.64878792585,27.9020047163345,285,74.6427900765138,3.27874980660489e-43,0.513077707574599,0.502754266745792,2768.76718328005,2798.12623066389,27.8605520358719,283,49.700261384061,1.62678016786914e-41,NA,0.51231111933343,0.953535634561977,0.335292197962122,NA,0.936917677929031,0.893964585266336,0.537416629118007
